Year,Month,Gender,13-17,18-24,25-34,35-44,45-54,55-64,65+
2022,April,F,5300000,15400000,13300000,7500000,4200000,2500000,1900000
2022,April,M,4400000,13100000,13100000,7000000,3500000,1700000,1300000
2022,March,F,5900000,16700000,14000000,7700000,4300000,2500000,1900000
2022,March,M,4700000,13800000,13500000,7100000,3500000,1800000,1300000
2022,February,F,5200000,15700000,13500000,7300000,4100000,2400000,1800000
2022,February,M,4300000,13000000,12800000,6800000,3400000,1700000,1200000
2022,January,F,5400000,16400000,13800000,7400000,4100000,2400000,1900000
2022,January,M,4400000,13400000,13000000,6900000,3400000,1700000,1300000
2021,December,F,5500000,16300000,14000000,7100000,4000000,2400000,1800000
2021,December,M,4500000,13700000,13500000,6600000,3300000,1700000,1300000
2021,November,F,5500000,16300000,14000000,7100000,4000000,2400000,1800000
2021,November,M,4500000,13700000,13500000,6600000,3300000,1700000,1300000
2021,October,F,5500000,16100000,14100000,7200000,4000000,2400000,1800000
2021,October,M,4600000,13800000,13700000,6600000,3300000,1600000,1300000
2021,September,F,5500000,16200000,14100000,7100000,4000000,2400000,1800000
2021,September,M,4700000,13600000,13600000,6500000,3300000,1600000,1300000
2021,August,F,5300000,16000000,14000000,7000000,3900000,2300000,1800000
2021,August,M,4400000,13000000,13000000,6400000,3200000,1600000,1200000
2021,July,F,5200000,16000000,14000000,6800000,4000000,2300000,1800000
2021,July,M,4500000,13000000,13000000,6400000,3200000,1600000,1200000
2021,June,F,4900000,15000000,14000000,6800000,3900000,2300000,1700000
2021,June,M,4300000,13000000,13000000,6300000,3100000,1500000,1200000
2021,May,F,4900000,15000000,13000000,6700000,3800000,2200000,1700000
2021,May,M,4300000,13000000,13000000,6300000,3100000,1500000,1200000
2021,April,F,5000000,15000000,13000000,6700000,3700000,2200000,1600000
2021,April,M,4400000,13000000,13000000,6200000,3100000,1500000,1200000
2021,March,F,4900000,15000000,13000000,6600000,3700000,2200000,1600000
2021,March,M,4400000,13000000,13000000,6100000,3000000,1500000,1100000
2021,February,F,4600000,15000000,13000000,6600000,3700000,2200000,1500000
2021,February,M,4200000,13000000,13000000,6000000,3000000,1500000,1100000
2021,January,F,4600000,14000000,13000000,6500000,3600000,2100000,1500000
2021,January,M,4200000,13000000,13000000,5900000,3000000,1400000,1100000
2020,December,F,4500000,14000000,13000000,6400000,3600000,2100000,1500000
2020,December,M,4100000,13000000,13000000,5800000,2900000,1400000,1000000
2020,November,F,4500000,14000000,13000000,6300000,3500000,2000000,1400000
2020,November,M,4100000,12000000,13000000,5700000,2800000,1300000,1000000
2020,October,F,4500000,14000000,13000000,6200000,3500000,2000000,1400000
2020,October,M,4000000,12000000,13000000,5700000,2800000,1300000,990000
2020,September,F,4400000,14000000,13000000,6200000,3400000,2000000,1300000
2020,September,M,3900000,12000000,13000000,5600000,2700000,1300000,960000
2020,August,F,4300000,14000000,13000000,6100000,3400000,1900000,1300000
2020,August,M,3900000,12000000,13000000,5500000,2700000,1300000,930000
2020,July,F,5400000,15000000,14000000,6400000,3500000,2000000,1400000
