Word,Freq
premium,2
rice,4
selling,2
kilo,2
quezon,2
city,14
niya,5
eleksiyon,8
filipinas,6
sara,9
duterte,26
ilang,4
landmarks,2
bansa,4
pagkapanalo,2
nina,7
bongbong,4
marcos,92
noong,8
halalan,11
post,8
martial,6
victim,2
isang,7
panayam,2
media,4
pagmamay,2
heir,5
president,14
aprubado,2
bayan,3
bill,5
robin,1
embarrasses,2
sena,5
hawak,3
quadrillionâ,2
worth,3
gold,4
mayroong,4
mass,3
hiring,2
pinklawanâ,4
guanzon,2
sinabing,3
robredo,109
party,3
nanawagan,2
davao,4
vice,5
mayor,6
sebastian,2
bagong,3
pilipinas,9
university,3
matapos,3
manalo,4
news,4
anchor,2
interbiyu,3
sinabi,15
dayaan,4
program,2
member,3
magiging,4
kada,2
simula,2
mayo,4
economy,1
ousted,3
manipuladong,4
video,10
nagbanta,3
gulo,2
putin,3
kung,6
kiko,5
students,3
disqualified,4
public,4
election,8
pagpapahayag,2
suporta,6
retra,4
resulta,4
mula,7
rappler,5
campaign,16
accessories,2
loob,3
voting,3
balota,6
makabayan,2
supporter,6
nakuhanan,2
bidyo,2
mandaluyong,2
naglabas,3
resoluyon,2
comelec,7
nagdidiskuwalipika,2
rodredo,2
congresswoman,2
approved,4
passed,2
veripoyed,6
kinopya,4
economic,8
sina,2
pangilinan,6
lang,5
edsa,6
sabi,6
gadon,9
ayon,8
natupad,2
kampanya,4
sison,1
inaming,4
pinapayuhan,2
basehan,3
report,8
tungkol,9
wala,6
watchlist,4
quiboloy,1
smni,4
stint,2
teacher,4
japan,2
will,7
kris,1
aquino,4
government,4
recovered,2
imelda,4
jewelryâ,2
machinesâ,2
political,3
illegal,4
developed,2
covid,7
cure,4
already,2
akda,4
batas,7
nagtatag,4
philippine,17
vaccination,4
card,3
result,3
makabo,2
justice,4
leonen,3
removed,2
million,5
goldâ,2
missing,2
pped,5
revolution,2
sfirstph,6
claim,47
billion,2
estate,1
flagged,3
documents,2
kandidatura,2
nakipagkalakal,2
hanggang,2
pamilya,4
satire,3
gumawa,4
dokumentaryong,2
kingmakerâ,4
platform,2
laban,5
claimed,3
maharlikaâ,2
change,4
countryâ,2
name,3
pretends,2
lawyer,3
great,2
guaranteed,2
muslim,2
mindanao,5
dahil,8
isinulong,2
ibababa,2
tagging,7
diumano,2
pahayag,8
umano,3
kami,2
kakaunting,2
dumalo,3
rally,20
baguio,2
pang,3
inendorso,2
halalan2022,2
debate,5
pacquiao,4
fulfilled,2
promises,2
powerâ,2
participants,3
went,2
documentary,2
lima,3
badoy,7
constitution,3
dahilan,5
paglaganap,2
team,4
rekruter,2
galawang,1
naziâ,1
initiative,1
vera,3
files,1
binagong,1
father,3
tandagâ,1
admits,1
advising,1
required,1
join,1
cebu,4
nilangaw,1
tagum,1
banta,2
taggingâ,1
pasekre,1
inendoso,1
ipinagbawal,2
mayorya,1
alkalde,1
sumusuporta,1
kina,1
pulse,1
asia,2
nagrerekrut,1
magkakagulo,3
blueprint,1
presidential,5
given,1
questions,2
advance,1
lied,1
professor,1
aika,3
faked,1
fiasco,1
apologize,1
legal,3
fronts,1
blueprintâ,2
late,2
pres,1
start,1
system,1
elec,1
fraud,1
mated,1
pagbabago,1
rekord,1
dating,7
diktador,2
pagsisikap,1
itama,1
kasaysayanâ,1
natalo,1
siya,5
ninoy,5
enjoys,1
generous,1
accessâ,1
detention,1
behind,2
vaccine,3
hesitancy,1
southern,1
copied,1
marcosâ,2
nagpatayo,1
general,1
hospital,1
kumakalat,2
umanoâ,1
exit,3
pollâ,1
overseas,1
hongkong,2
saan,2
sinasabing,1
nangunguna,1
tandem,1
doon,1
phoi,1
tritydo,1
lung,1
diseases,2
pneumonia,1
bronchitis,1
nixon,1
declared,1
dollar,1
longer,2
backed,2
bilang,3
bumo,2
saudi,1
arabia,1
peke,2
anak,4
perpetuated,1
sinupalpal,1
xiao,1
chua,1
cheryl,1
cosim,1
filesâ,1
akin,1
nazi,1
censorship,1
litra,3
ginawang,1
kakampinkâ,2
komunista,1
lahat,3
kanyang,1
sinuotan,1
pink,5
gown,1
tinawag,1
respe,1
taga,1
tarlac,3
tinutulan,1
pagpapatayo,1
arena,2
found,1
guilty,1
treason,1
revise,1
rical,1
effort,5
correct,1
communistsâ,2
guerrilla,1
leader,2
world,2
ipinangako,1
pamahalaang,1
korap,1
founded,1
lawmakers,1
communist,7
guerillasâ,1
urban,1
operatives,1
suportado,3
piolo,1
pascual,1
uniteam,5
abril,1
poll,2
hacienda,1
luisita,1
owes,1
years,1
back,3
taxes,1
cclex,1
tplex,1
accomplished,1
administration,4
takes,2
lead,3
march,1
weather,1
stations,1
survey,3
supporting,1
admitted,1
inosente,1
napa,1
sala,1
dapat,2
handang,1
ikamatay,1
libo,1
libong,1
sundalo,1
qatar,1
governors,1
backing,1
calls,2
barzagas,1
trai,1
idiots,1
robredoâ,5
picture,2
seal,1
kritisismo,1
drugsâ,3
pagdadalawang,1
isip,2
inves,2
mamuhunan,1
magalong,2
counterinsurgency,2
approachâ,1
elcac,7
paparusahan,1
nadiskubre,1
manual,3
recount,2
defamation,1
spreeâ,1
pinakamayamang,1
filipino,3
bago,3
naging,1
pulitiko,1
nagpagawa,1
circumferential,1
road,2
support,4
says,3
thousands,2
soldiers,1
worthy,1
sacrifice,1
asawa,3
miyembro,3
york,1
state,1
association,1
pagbagsak,1
ekonomya,1
marcoses,4
convicted,1
charges,1
nakaprograma,2
nakalutang,1
tubig,1
butuan,1
planong,6
solusyon,2
problema,1
droga,2
holds,2
guinness,2
record,1
longest,5
rcade,2
comments,1
cost,1
indoor,1
stadium,2
owned,1
facebook,3
diumanoâ,1
tweet,1
panganay,1
frontsâ,1
inimben,1
criticism,1
discouraging,1
business,1
nalulong,1
eats,1
restaurant,1
affiliated,1
criticize,1
appointed,1
judge,1
drug,4
addict,2
ipina,1
chant,1
elcacâ,1
approach,1
maharlika,1
lorraine,2
sandro,3
ring,1
patawan,1
buwis,1
seafarer,2
nurse,1
kumikita,1
nang,3
malaki,1
manipulado,1
lumabas,1
account,2
2022â,1
balak,2
pandaraya,4
sign,1
nagsabi,2
tambalang,3
wurtzbach,5
paalisin,2
gordon,2
pagtitipon,1
tagasuporta,1
ilocos,3
norte,2
caravan,3
nagpahayag,3
sister,1
consalata,1
manding,1
daughters,1
paul,1
congregation,1
ferdinang,1
infiltrated,1
camo,1
holding,1
rifle,1
marawi,1
siege,1
repeats,1
talking,1
singer,1
britney,1
spears,1
vote,4
invoice,1
nakapangalan,1
mention,1
title,1
favorite,1
book,1
interview,1
oligarchs,1
supportive,1
napapunta,1
armm,1
ipinagkatiwala,1
lopez,1
meralco,1
jesse,1
involved,3
gambling,1
trade,1
naga,5
guiness,3
kinidnap,2
padillaâ,1
dealing,1
insurgency,1
reportâ,1
