	Word	Freq
0	niya	5
1	eleksiyon	8
2	filipinas	6
3	sara	9
4	duterte	26
5	ilang	4
6	landmarks	2
7	bansa	4
8	pagkapanalo	2
9	nina	7
10	bongbong	4
11	marcos	92
12	noong	8
13	halalan	11
14	post	8
15	martial	6
16	victim	2
17	isang	7
18	panayam	2
19	media	4
20	pagmamay	2
21	heir	5
22	president	14
23	aprubado	2
24	bayan	3
25	bill	5
26	robin	1
27	embarrasses	2
28	sena	6
29	hawak	3
30	quadrillionâ	2
31	worth	3
32	gold	4
33	mayroong	4
34	mass	3
35	hiring	2
36	pinklawanâ	4
37	guanzon	2
38	sinabing	3
39	robredo	109
40	party	3
41	nanawagan	2
42	davao	4
43	city	12
44	vice	5
45	mayor	6
46	sebastian	2
47	bagong	3
48	pilipinas	9
49	university	3
50	matapos	3
51	manalo	4
52	news	4
53	anchor	2
54	interbiyu	3
55	sinabi	15
56	dayaan	4
57	program	2
58	member	3
59	magiging	4
60	kada	2
61	simula	2
62	mayo	4
63	economy	1
64	ousted	3
65	manipuladong	4
66	video	10
67	nagbanta	3
68	gulo	2
69	putin	3
70	kung	6
71	kiko	5
72	students	3
73	disqualified	4
74	public	4
75	election	8
76	pagpapahayag	2
77	suporta	6
78	retra	4
79	resulta	4
80	mula	7
81	rappler	3
82	campaign	16
83	accessories	2
84	loob	3
85	voting	3
86	balota	6
87	makabayan	2
88	supporter	6
89	nakuhanan	2
90	bidyo	2
91	mandaluyong	2
92	naglabas	3
93	resoluyon	2
94	comelec	7
95	nagdidiskuwalipika	2
96	rodredo	2
97	congresswoman	2
98	approved	4
99	passed	3
100	veripoyed	6
101	kinopya	4
102	economic	8
103	sina	2
104	pangilinan	6
105	lang	5
106	edsa	6
107	sabi	6
108	gadon	9
109	ayon	8
110	natupad	2
111	kampanya	4
112	sison	1
113	inaming	4
114	pinapayuhan	2
115	basehan	3
116	report	8
117	tungkol	9
118	wala	6
119	watchlist	4
120	quiboloy	1
121	smni	4
122	stint	2
123	teacher	4
124	japan	2
125	will	7
126	kris	1
127	aquino	4
128	government	4
129	recovered	2
130	imelda	4
131	jewelryâ	2
132	machinesâ	2
133	political	3
134	illegal	4
135	developed	2
136	covid	7
137	cure	4
138	already	2
139	akda	4
140	batas	7
141	nagtatag	4
142	philippine	17
143	vaccination	4
144	card	3
145	result	3
146	makabo	2
147	justice	4
148	leonen	3
149	removed	2
150	million	5
151	goldâ	2
152	missing	2
153	pped	5
154	revolution	2
155	sfirstph	6
156	claim	48
157	billion	2
158	estate	1
159	flagged	3
160	documents	2
161	kandidatura	2
162	nakipagkalakal	2
163	hanggang	2
164	pamilya	4
165	satire	3
166	gumawa	4
167	dokumentaryong	2
168	kingmakerâ	4
169	platform	2
170	laban	5
171	claimed	3
172	maharlikaâ	2
173	change	4
174	countryâ	2
175	name	3
176	pretends	2
177	lawyer	3
178	great	2
179	guaranteed	2
180	muslim	2
181	mindanao	5
182	dahil	8
183	isinulong	2
184	ibababa	2
185	tagging	7
186	diumano	2
187	pahayag	8
188	umano	3
189	kami	2
190	kakaunting	2
191	dumalo	3
192	rally	20
193	baguio	2
194	pang	3
195	inendorso	2
196	halalan2022	2
197	debate	5
198	pacquiao	4
199	fulfilled	2
200	promises	2
201	powerâ	2
202	participants	3
203	went	2
204	documentary	2
205	lima	3
206	badoy	7
207	constitution	3
208	dahilan	5
209	paglaganap	2
210	team	4
211	vera	1
212	files	2
213	binagong	1
214	father	3
215	tandagâ	1
216	admits	1
217	advising	1
218	required	1
219	join	1
220	cebu	4
221	nilangaw	1
222	tagum	1
223	banta	2
224	taggingâ	1
225	pasekre	1
226	inendoso	1
227	ipinagbawal	2
228	mayorya	1
229	alkalde	1
230	sumusuporta	1
231	kina	1
232	pulse	1
233	asia	2
234	nagrerekrut	1
235	magkakagulo	3
236	blueprint	1
237	presidential	5
238	given	1
239	questions	2
240	advance	1
241	lied	1
242	professor	1
243	aika	3
244	faked	1
245	fiasco	1
246	apologize	1
247	legal	3
248	fronts	1
249	blueprintâ	2
250	late	2
251	pres	1
252	start	1
253	system	1
254	elec	1
255	fraud	1
256	mated	1
257	pagbabago	1
258	rekord	1
259	dating	7
260	diktador	2
261	pagsisikap	1
262	itama	1
263	kasaysayanâ	1
264	natalo	1
265	siya	5
266	ninoy	5
267	enjoys	1
268	generous	1
269	accessâ	1
270	detention	1
271	behind	2
272	vaccine	3
273	hesitancy	1
274	southern	1
275	copied	1
276	marcosâ	2
277	nagpatayo	1
278	general	1
279	hospital	1
280	kumakalat	2
281	umanoâ	1
282	exit	3
283	pollâ	1
284	overseas	1
285	hongkong	2
286	saan	2
287	sinasabing	1
288	nangunguna	1
289	tandem	1
290	doon	1
291	phoi	1
292	tritydo	1
293	lung	1
294	diseases	2
295	pneumonia	1
296	bronchitis	1
297	nixon	1
298	declared	1
299	dollar	1
300	longer	2
301	backed	2
302	bilang	3
303	bumo	2
304	saudi	1
305	arabia	1
306	peke	2
307	anak	4
308	perpetuated	1
309	sinupalpal	1
310	xiao	1
311	chua	1
312	cheryl	1
313	cosim	1
314	filesâ	1
315	akin	1
316	nazi	1
317	censorship	1
318	litra	3
319	ginawang	1
320	kakampinkâ	2
321	komunista	1
322	lahat	3
323	kanyang	1
324	sinuotan	1
325	pink	5
326	gown	1
327	tinawag	1
328	respe	1
329	taga	1
330	tarlac	3
331	tinutulan	1
332	pagpapatayo	1
333	arena	2
334	found	1
335	guilty	1
336	treason	1
337	revise	1
